#LIBRARY    ENDF/B-VII.1
#REACTION   U-235(N,F),SIG
#NUCLEUS    U-235
#MF         3
#MT         18
#E,eV        Sig,b        Interpolation
 6.47438     32.2809      Lin-Lin
 6.47714     30.1676      Lin-Lin
 6.4799      28.2071      Lin-Lin
 6.48266     26.3927      Lin-Lin
 6.48542     24.7171      Lin-Lin
 6.48818     23.1726      Lin-Lin
 6.49094     21.7515      Lin-Lin
 6.4937      20.4457      Lin-Lin
 6.49659     19.1903      Lin-Lin
 6.49949     18.0445      Lin-Lin
 6.50239     16.9997      Lin-Lin
 6.50529     16.0476      Lin-Lin
 6.50818     15.1804      Lin-Lin
 6.51094     14.4265      Lin-Lin
 6.51453     13.5414      Lin-Lin
 6.51812     12.7526      Lin-Lin
 6.5217      12.049       Lin-Lin
 6.52529     11.4206      Lin-Lin
 6.52888     10.8585      Lin-Lin
 6.53247     10.3548      Lin-Lin
 6.53605     9.90258      Lin-Lin
 6.54019     9.43698      Lin-Lin
 6.54488     8.97214      Lin-Lin
 6.54956     8.56417      Lin-Lin
 6.55425     8.20467      Lin-Lin
 6.55893     7.88664      Lin-Lin
 6.56362     7.60421      Lin-Lin
 6.57065     7.2369       Lin-Lin
 6.57733     6.93974      Lin-Lin
 6.58333     6.709        Lin-Lin
 6.59133     6.44515      Lin-Lin
 6.59933     6.22287      Lin-Lin
 6.60732     6.03495      Lin-Lin
 6.61532     5.87579      Lin-Lin
 6.62732     5.68168      Lin-Lin
 6.63931     5.53153      Lin-Lin
 6.65102     5.4198       Lin-Lin
 6.66272     5.33701      Lin-Lin
 6.67442     5.27927      Lin-Lin
 6.68613     5.24375      Lin-Lin
 6.69861     5.22816      Lin-Lin
 6.71265     5.23628      Lin-Lin
 6.7267      5.2705       Lin-Lin
 6.7423      5.33903      Lin-Lin
 6.75791     5.44088      Lin-Lin
 6.77351     5.57873      Lin-Lin
 6.78911     5.75695      Lin-Lin
 6.80316     5.95705      Lin-Lin
 6.8172      6.20132      Lin-Lin
 6.82891     6.44471      Lin-Lin
 6.84061     6.73115      Lin-Lin
 6.85231     7.06908      Lin-Lin
 6.86011     7.3283       Lin-Lin
 6.86792     7.61943      Lin-Lin
 6.87572     7.94762      Lin-Lin
 6.88352     8.31929      Lin-Lin
 6.89132     8.74257      Lin-Lin
 6.89913     9.22782      Lin-Lin
 6.90498     9.64034      Lin-Lin
 6.91083     10.1022      Lin-Lin
 6.91668     10.622       Lin-Lin
 6.92253     11.2101      Lin-Lin
 6.92838     11.8792      Lin-Lin
 6.93423     12.6443      Lin-Lin
 6.93814     13.2166      Lin-Lin
 6.94204     13.8456      Lin-Lin
 6.94672     14.685       Lin-Lin
 6.9514      15.6291      Lin-Lin
 6.95608     16.6923      Lin-Lin
 6.95959     17.5773      Lin-Lin
 6.96271     18.4333      Lin-Lin
 6.96661     19.6034      Lin-Lin
 6.97051     20.8943      Lin-Lin
 6.97442     22.3165      Lin-Lin
 6.97779     23.6606      Lin-Lin
 6.98206     25.5242      Lin-Lin
 6.98633     27.58        Lin-Lin
 6.99076     29.9248      Lin-Lin
 6.99509     32.4369      Lin-Lin
 6.99899     34.8892      Lin-Lin
 7.00289     37.5214      Lin-Lin
